Battery_Capacity_kWh,Unmet_Demand_kWh,Unused_Generation_kWh
0,inf,3386292.889418152
500,inf,3242658.134139703
1000,inf,3121291.1902473234
1500,inf,3008194.031809045
2000,inf,2898917.615513207
2500,inf,2795805.2450690125
3000,inf,2700390.5869097933
3500,inf,2610391.60092527
4000,inf,2526671.626416847
4500,inf,2449467.6823926186
5000,inf,2379321.0069705723
5500,inf,2313403.1713044755
6000,inf,2252246.1472429424
6500,inf,2195859.403172935
7000,inf,2143847.9309334685
7500,inf,2095967.0265868139
8000,inf,2053318.7996150826
8500,inf,2013415.1954631468
9000,inf,1976301.4966986354
9500,inf,1943858.154907741
10000,inf,1913824.0898106568
